Domain,Table,Field,Type,Constraints,Notes / Enum Values
Product Requests,product_requests,requested_by_user_id,bigint,"FK: users, null: false",
Product Requests,product_requests,assigned_buyer_user_id,bigint,FK: users,
Product Requests,product_requests,notes,text,,
Product Requests,product_requests,created_at,datetime,null: false,Rails timestamp.
Product Requests,product_requests,updated_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,vendors,id,bigint,"primary key, auto-increment",
Vendors and Purchasing,vendors,organization_id,bigint,"FK: organizations, null: false",
Vendors and Purchasing,vendors,code,string,null: false; unique with organization_id,
Vendors and Purchasing,vendors,name,string,null: false,
Vendors and Purchasing,vendors,legal_name,string,,
Vendors and Purchasing,vendors,active,boolean,"null: false, default: true",
Vendors and Purchasing,vendors,ordering_contact,string,,
Vendors and Purchasing,vendors,ordering_email,string,,
Vendors and Purchasing,vendors,phone,string,,
Vendors and Purchasing,vendors,account_reference,string,,
Vendors and Purchasing,vendors,default_supplier_discount_bps,integer,,Default vendor discount from list cost.
Vendors and Purchasing,vendors,notes,text,,
Vendors and Purchasing,vendors,created_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,vendors,updated_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,product_variant_vendors,id,bigint,"primary key, auto-increment",
Vendors and Purchasing,product_variant_vendors,product_variant_id,bigint,"FK: product_variants, null: false; unique with vendor_id",
Vendors and Purchasing,product_variant_vendors,vendor_id,bigint,"FK: vendors, null: false; unique with product_variant_id",
Vendors and Purchasing,product_variant_vendors,vendor_item_code,string,,
Vendors and Purchasing,product_variant_vendors,vendor_identifier,string,,
Vendors and Purchasing,product_variant_vendors,list_cost_cents,integer,,
Vendors and Purchasing,product_variant_vendors,discount_bps,integer,,
Vendors and Purchasing,product_variant_vendors,expected_unit_cost_cents,integer,,
Vendors and Purchasing,product_variant_vendors,minimum_order_quantity,integer,,
Vendors and Purchasing,product_variant_vendors,order_multiple,integer,,
Vendors and Purchasing,product_variant_vendors,returnable,boolean,,
Vendors and Purchasing,product_variant_vendors,preferred,boolean,"null: false, default: false",
Vendors and Purchasing,product_variant_vendors,active,boolean,"null: false, default: true",
Vendors and Purchasing,product_variant_vendors,last_ordered_at,datetime,,
Vendors and Purchasing,product_variant_vendors,last_received_at,datetime,,
Vendors and Purchasing,product_variant_vendors,notes,text,,
Vendors and Purchasing,product_variant_vendors,created_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,product_variant_vendors,updated_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_orders,id,bigint,"primary key, auto-increment",
Vendors and Purchasing,purchase_orders,store_id,bigint,"FK: stores, null: false",
Vendors and Purchasing,purchase_orders,vendor_id,bigint,"FK: vendors, null: false",
Vendors and Purchasing,purchase_orders,purchase_order_number,string,null: false; unique with store_id,
Vendors and Purchasing,purchase_orders,status,string,"null: false, default: draft","Proposed only: draft, submitted, ordered, received, closed, cancelled. Final PO status model remains Open; do not scaffold as settled."
Vendors and Purchasing,purchase_orders,ordered_on,date,,
Vendors and Purchasing,purchase_orders,expected_on,date,,
Vendors and Purchasing,purchase_orders,submitted_at,datetime,,
Vendors and Purchasing,purchase_orders,submitted_by_user_id,bigint,FK: users,
Vendors and Purchasing,purchase_orders,ordered_at,datetime,,
Vendors and Purchasing,purchase_orders,ordered_by_user_id,bigint,FK: users,
Vendors and Purchasing,purchase_orders,buyer_user_id,bigint,FK: users,
Vendors and Purchasing,purchase_orders,vendor_reference,string,,
Vendors and Purchasing,purchase_orders,notes,text,,
Vendors and Purchasing,purchase_orders,created_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_orders,updated_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_order_lines,id,bigint,"primary key, auto-increment",
Vendors and Purchasing,purchase_order_lines,purchase_order_id,bigint,"FK: purchase_orders, null: false",
Vendors and Purchasing,purchase_order_lines,position,smallint,"null: false, default: 0",
Vendors and Purchasing,purchase_order_lines,product_variant_id,bigint,"FK: product_variants, null: false",
Vendors and Purchasing,purchase_order_lines,product_variant_vendor_id,bigint,FK: product_variant_vendors,
Vendors and Purchasing,purchase_order_lines,description_snapshot,string,null: false,
Vendors and Purchasing,purchase_order_lines,sku_snapshot,string,null: false,
Vendors and Purchasing,purchase_order_lines,vendor_item_code_snapshot,string,,
Vendors and Purchasing,purchase_order_lines,ordered_quantity,integer,null: false,
Vendors and Purchasing,purchase_order_lines,cancelled_quantity,integer,"null: false, default: 0",
Vendors and Purchasing,purchase_order_lines,received_quantity,integer,"null: false, default: 0",Derived from posted accepted receipt lines where feasible.
Vendors and Purchasing,purchase_order_lines,list_cost_cents,integer,,
Vendors and Purchasing,purchase_order_lines,discount_bps,integer,,
Vendors and Purchasing,purchase_order_lines,expected_unit_cost_cents,integer,,
Vendors and Purchasing,purchase_order_lines,returnable_snapshot,boolean,,
Vendors and Purchasing,purchase_order_lines,notes,text,,
Vendors and Purchasing,purchase_order_lines,created_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_order_lines,updated_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_order_allocations,id,bigint,"primary key, auto-increment",
Vendors and Purchasing,purchase_order_allocations,purchase_order_line_id,bigint,"FK: purchase_order_lines, null: false; unique with product_request_id",
Vendors and Purchasing,purchase_order_allocations,product_request_id,bigint,"FK: product_requests, null: false; unique with purchase_order_line_id",
Vendors and Purchasing,purchase_order_allocations,quantity,integer,null: false,Must be greater than zero. Sum of active allocations must not exceed PO-Line open quantity or Product-Request remaining quantity.
Vendors and Purchasing,purchase_order_allocations,status,string,"null: false, default: active","Phase 3: active, cancelled. received and fulfilled are deferred until Phase 4 posting rules exist."
Vendors and Purchasing,purchase_order_allocations,created_by_user_id,bigint,"FK: users, null: false",
Vendors and Purchasing,purchase_order_allocations,cancelled_at,datetime,,
Vendors and Purchasing,purchase_order_allocations,cancelled_by_user_id,bigint,FK: users,
Vendors and Purchasing,purchase_order_allocations,cancellation_reason,text,,Required when status is cancelled.
Vendors and Purchasing,purchase_order_allocations,created_at,datetime,null: false,Rails timestamp.
Vendors and Purchasing,purchase_order_allocations,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,receipts,id,bigint,"primary key, auto-increment",
Receiving and Inventory,receipts,store_id,bigint,"FK: stores, null: false",
Receiving and Inventory,receipts,vendor_id,bigint,FK: vendors,
Receiving and Inventory,receipts,receipt_number,string,null: false; unique with store_id,
Receiving and Inventory,receipts,vendor_document_number,string,,Packing slip or vendor invoice reference.
Receiving and Inventory,receipts,status,string,"null: false, default: draft","Proposed only: draft, posted, corrected, cancelled. Posted-receipt correction workflow remains Open."
Receiving and Inventory,receipts,received_at,datetime,null: false,
Receiving and Inventory,receipts,received_by_user_id,bigint,"FK: users, null: false",
Receiving and Inventory,receipts,posted_at,datetime,,
Receiving and Inventory,receipts,posted_by_user_id,bigint,FK: users,
Receiving and Inventory,receipts,correction_of_receipt_id,bigint,FK: receipts,
Receiving and Inventory,receipts,notes,text,,
Receiving and Inventory,receipts,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,receipts,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,receipt_lines,id,bigint,"primary key, auto-increment",
Receiving and Inventory,receipt_lines,receipt_id,bigint,"FK: receipts, null: false",
Receiving and Inventory,receipt_lines,purchase_order_line_id,bigint,FK: purchase_order_lines,
Receiving and Inventory,receipt_lines,product_variant_id,bigint,"FK: product_variants, null: false",
Receiving and Inventory,receipt_lines,description_snapshot,string,null: false,
Receiving and Inventory,receipt_lines,sku_snapshot,string,null: false,
Receiving and Inventory,receipt_lines,delivered_quantity,integer,"null: false, default: 0",
Receiving and Inventory,receipt_lines,accepted_quantity,integer,"null: false, default: 0",Only accepted quantity enters on-hand inventory.
Receiving and Inventory,receipt_lines,rejected_quantity,integer,"null: false, default: 0",
Receiving and Inventory,receipt_lines,damaged_quantity,integer,"null: false, default: 0",Accepted into unavailable damaged status.
Receiving and Inventory,receipt_lines,inspection_quantity,integer,"null: false, default: 0",Accepted into unavailable inspection status.
Receiving and Inventory,receipt_lines,list_cost_cents,integer,,
Receiving and Inventory,receipt_lines,discount_bps,integer,,
Receiving and Inventory,receipt_lines,unit_cost_cents,integer,,Actual acquisition cost used for inventory.
Receiving and Inventory,receipt_lines,discrepancy_reason,string,,"Shortage, overage, damage, substitution, cost variance, other."
Receiving and Inventory,receipt_lines,notes,text,,
Receiving and Inventory,receipt_lines,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,receipt_lines,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,stock_balances,id,bigint,"primary key, auto-increment",
Receiving and Inventory,stock_balances,store_id,bigint,"FK: stores, null: false; unique with product_variant_id",
Receiving and Inventory,stock_balances,product_variant_id,bigint,"FK: product_variants, null: false; unique with store_id",
Receiving and Inventory,stock_balances,on_hand,integer,"null: false, default: 0",
Receiving and Inventory,stock_balances,reserved,integer,"null: false, default: 0",
Receiving and Inventory,stock_balances,unavailable,integer,"null: false, default: 0",
Receiving and Inventory,stock_balances,on_order,integer,"null: false, default: 0",Cached expected-supply quantity maintained only by Purchasing/Receiving posting services; never changed by POS.
Receiving and Inventory,stock_balances,moving_average_cost_cents,integer,,
Receiving and Inventory,stock_balances,last_received_at,datetime,,
Receiving and Inventory,stock_balances,lock_version,integer,"null: false, default: 0",Optimistic locking for concurrent inventory updates.
Receiving and Inventory,stock_balances,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,stock_balances,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_units,id,bigint,"primary key, auto-increment",
Receiving and Inventory,inventory_units,product_variant_id,bigint,"FK: product_variants, null: false",Parent variant must use individual tracking.
Receiving and Inventory,inventory_units,store_id,bigint,"FK: stores, null: false",
Receiving and Inventory,inventory_units,unit_identifier,string,"null: false, unique",ShelfStack-generated 27-prefix EAN-13 identifier.
Receiving and Inventory,inventory_units,condition_id,bigint,"FK: product_conditions, null: false",
Receiving and Inventory,inventory_units,acquisition_cost_cents,integer,,
Receiving and Inventory,inventory_units,price_cents,integer,,Optional unit-specific selling price.
Receiving and Inventory,inventory_units,description,string,,Copy-specific public description.
Receiving and Inventory,inventory_units,internal_notes,text,,
Receiving and Inventory,inventory_units,status,string,"null: false, default: available","Phase 4 baseline: available, reserved, sold, inspection, damaged, discarded. Deferred-capable: rtv, in_transfer; those workflows are not yet implemented."
Receiving and Inventory,inventory_units,acquisition_source_type,string,,"receipt_line, return_line, buyback, adjustment, other."
Receiving and Inventory,inventory_units,acquisition_source_id,bigint,,Polymorphic source identifier.
Receiving and Inventory,inventory_units,acquired_at,datetime,,
Receiving and Inventory,inventory_units,sold_pos_line_item_id,bigint,FK: pos_line_items,
Receiving and Inventory,inventory_units,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_units,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_ledger_entries,id,bigint,"primary key, auto-increment",
Receiving and Inventory,inventory_ledger_entries,store_id,bigint,"FK: stores, null: false",
Receiving and Inventory,inventory_ledger_entries,product_variant_id,bigint,"FK: product_variants, null: false",
Receiving and Inventory,inventory_ledger_entries,inventory_unit_id,bigint,FK: inventory_units,
Receiving and Inventory,inventory_ledger_entries,movement_type,string,null: false,"receipt, sale, customer_return, adjustment_increase, adjustment_decrease, transfer_out, transfer_in, rtv_shipment, discard, post_void, correction."
Receiving and Inventory,inventory_ledger_entries,quantity_delta,integer,null: false,Signed on-hand quantity effect; zero is permitted for status-only movement.
Receiving and Inventory,inventory_ledger_entries,from_status,string,,
Receiving and Inventory,inventory_ledger_entries,to_status,string,,
Receiving and Inventory,inventory_ledger_entries,unit_cost_cents,integer,,
Receiving and Inventory,inventory_ledger_entries,extended_cost_cents,integer,,
Receiving and Inventory,inventory_ledger_entries,source_type,string,null: false,"receipt_line, pos_line_item, inventory_adjustment_line, other."
Receiving and Inventory,inventory_ledger_entries,source_id,bigint,null: false,Polymorphic source identifier.
Receiving and Inventory,inventory_ledger_entries,reverses_entry_id,bigint,FK: inventory_ledger_entries,
Receiving and Inventory,inventory_ledger_entries,posted_at,datetime,null: false,
Receiving and Inventory,inventory_ledger_entries,posted_by_user_id,bigint,FK: users,
Receiving and Inventory,inventory_ledger_entries,reason,text,,
Receiving and Inventory,inventory_ledger_entries,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_reservations,id,bigint,"primary key, auto-increment",
Receiving and Inventory,inventory_reservations,store_id,bigint,"FK: stores, null: false",
Receiving and Inventory,inventory_reservations,product_variant_id,bigint,"FK: product_variants, null: false",
Receiving and Inventory,inventory_reservations,inventory_unit_id,bigint,FK: inventory_units,Required for individually tracked merchandise.
Receiving and Inventory,inventory_reservations,source_type,string,null: false,"Initial values: pos_line_item, product_request. Additional source types require an explicit owning workflow."
Receiving and Inventory,inventory_reservations,source_id,bigint,null: false,Polymorphic source identifier; may reference pos_line_items.id or product_requests.id according to source_type.
Receiving and Inventory,inventory_reservations,pos_transaction_id,bigint,FK: pos_transactions,
Receiving and Inventory,inventory_reservations,pos_line_item_id,bigint,FK: pos_line_items,
Receiving and Inventory,inventory_reservations,quantity,integer,"null: false, default: 1",
Receiving and Inventory,inventory_reservations,status,string,"null: false, default: active","active, released, converted."
Receiving and Inventory,inventory_reservations,reserved_at,datetime,null: false,
Receiving and Inventory,inventory_reservations,released_at,datetime,,
Receiving and Inventory,inventory_reservations,converted_at,datetime,,
Receiving and Inventory,inventory_reservations,released_by_user_id,bigint,FK: users,
Receiving and Inventory,inventory_reservations,release_reason,text,,
Receiving and Inventory,inventory_reservations,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_reservations,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_adjustments,id,bigint,"primary key, auto-increment",
Receiving and Inventory,inventory_adjustments,store_id,bigint,"FK: stores, null: false",
Receiving and Inventory,inventory_adjustments,adjustment_number,string,null: false; unique with store_id,
Receiving and Inventory,inventory_adjustments,status,string,"null: false, default: draft","draft, submitted, posted, cancelled."
Receiving and Inventory,inventory_adjustments,reason,text,null: false,
Receiving and Inventory,inventory_adjustments,created_by_user_id,bigint,"FK: users, null: false",
Receiving and Inventory,inventory_adjustments,posted_by_user_id,bigint,FK: users,
Receiving and Inventory,inventory_adjustments,posted_at,datetime,,
Receiving and Inventory,inventory_adjustments,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_adjustments,updated_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_adjustment_lines,id,bigint,"primary key, auto-increment",
Receiving and Inventory,inventory_adjustment_lines,inventory_adjustment_id,bigint,"FK: inventory_adjustments, null: false",
Receiving and Inventory,inventory_adjustment_lines,product_variant_id,bigint,"FK: product_variants, null: false",
Receiving and Inventory,inventory_adjustment_lines,inventory_unit_id,bigint,FK: inventory_units,
Receiving and Inventory,inventory_adjustment_lines,quantity_delta,integer,"null: false, default: 0",
Receiving and Inventory,inventory_adjustment_lines,from_status,string,,
Receiving and Inventory,inventory_adjustment_lines,to_status,string,,
Receiving and Inventory,inventory_adjustment_lines,unit_cost_cents,integer,,
Receiving and Inventory,inventory_adjustment_lines,reason,text,,
Receiving and Inventory,inventory_adjustment_lines,created_at,datetime,null: false,Rails timestamp.
Receiving and Inventory,inventory_adjustment_lines,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_transactions,id,bigint,"primary key, auto-increment",
Point of Sale,pos_transactions,public_id,string,"null: false, unique",Non-sequential identifier assigned when opened.
Point of Sale,pos_transactions,store_id,bigint,"FK: stores, null: false",
Point of Sale,pos_transactions,status,string,"null: false, default: open","open, suspended, completed, cancelled."
Point of Sale,pos_transactions,origin_pos_session_id,bigint,"FK: pos_sessions, null: false",
Point of Sale,pos_transactions,active_pos_session_id,bigint,FK: pos_sessions,Session currently editing the transaction.
Point of Sale,pos_transactions,completed_pos_session_id,bigint,FK: pos_sessions,Completion and financial reporting session.
Point of Sale,pos_transactions,customer_reference,string,,Nullable opaque v1 customer reference; no customers table is implemented in this phase.
Point of Sale,pos_transactions,opened_by_user_id,bigint,"FK: users, null: false",
Point of Sale,pos_transactions,cashier_user_id,bigint,FK: users,Actual completing cashier.
Point of Sale,pos_transactions,salesperson_user_id,bigint,FK: users,
Point of Sale,pos_transactions,receipt_sequence,bigint,,Assigned atomically only on successful completion.
Point of Sale,pos_transactions,receipt_number,string,unique with store_id,Nullable until completion.
Point of Sale,pos_transactions,opened_at,datetime,null: false,
Point of Sale,pos_transactions,suspended_at,datetime,,
Point of Sale,pos_transactions,completed_at,datetime,,
Point of Sale,pos_transactions,cancelled_at,datetime,,
Point of Sale,pos_transactions,cancelled_by_user_id,bigint,FK: users,
Point of Sale,pos_transactions,cancellation_reason,text,,
Point of Sale,pos_transactions,reverses_pos_transaction_id,bigint,FK: pos_transactions,Original completed transaction for a full post-void.
Point of Sale,pos_transactions,post_void_reason,text,,
Point of Sale,pos_transactions,post_void_authorized_by_user_id,bigint,FK: users,
Point of Sale,pos_transactions,sale_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,return_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,discount_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,tax_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,net_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,tender_received_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,tender_refunded_total_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,balance_due_cents,integer,"null: false, default: 0",
Point of Sale,pos_transactions,completion_idempotency_key,string,unique,
Point of Sale,pos_transactions,created_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_transactions,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_line_items,id,bigint,"primary key, auto-increment",
Point of Sale,pos_line_items,pos_transaction_id,bigint,"FK: pos_transactions, null: false",
Point of Sale,pos_line_items,status,string,"null: false, default: pending","pending, completed, removed."
Point of Sale,pos_line_items,direction,string,null: false,"sale, return."
Point of Sale,pos_line_items,line_kind,string,null: false,"product, open_ring, stored_value."
Point of Sale,pos_line_items,position,smallint,"null: false, default: 0",
Point of Sale,pos_line_items,product_id,bigint,FK: products,Snapshot reference for product lines.
Point of Sale,pos_line_items,product_variant_id,bigint,FK: product_variants,
Point of Sale,pos_line_items,inventory_unit_id,bigint,FK: inventory_units,Required for individually tracked product sales.
Point of Sale,pos_line_items,stored_value_account_id,bigint,FK: stored_value_accounts,Used for stored-value issuance or reload lines.
Point of Sale,pos_line_items,department_id,bigint,FK: departments,Historical posting snapshot.
Point of Sale,pos_line_items,merchandise_class_id,bigint,FK: merchandise_classes,Historical merchandising-classification snapshot; required for completed product lines where resolved.
Point of Sale,pos_line_items,tax_category_id,bigint,FK: tax_categories,Historical tax classification snapshot.
Point of Sale,pos_line_items,return_policy_id,bigint,FK: return_policies,Historical return-policy snapshot.
Point of Sale,pos_line_items,description_snapshot,string,null: false,
Point of Sale,pos_line_items,sku_snapshot,string,,
Point of Sale,pos_line_items,identifier_snapshot,string,,
Point of Sale,pos_line_items,condition_snapshot,string,,
Point of Sale,pos_line_items,format_snapshot,string,,
Point of Sale,pos_line_items,inventory_tracking_mode_snapshot,string,,"quantity, individual, none."
Point of Sale,pos_line_items,quantity,integer,"null: false, default: 1",Weighted merchandise is deferred; use integer quantity for the initial release.
Point of Sale,pos_line_items,unit_regular_price_cents,integer,,
Point of Sale,pos_line_items,unit_selling_price_cents,integer,,Price after approved price override and before discounts.
Point of Sale,pos_line_items,gross_amount_cents,integer,,
Point of Sale,pos_line_items,discount_amount_cents,integer,"null: false, default: 0",Cached sum of discount allocations.
Point of Sale,pos_line_items,net_amount_cents,integer,,
Point of Sale,pos_line_items,tax_amount_cents,integer,"null: false, default: 0",Cached sum of line tax components.
Point of Sale,pos_line_items,total_amount_cents,integer,,
Point of Sale,pos_line_items,unit_cost_cents,integer,,Historical moving-average or exact-unit cost.
Point of Sale,pos_line_items,extended_cost_cents,integer,,
Point of Sale,pos_line_items,price_source,string,,"variant, inventory_unit, future price book, override."
Point of Sale,pos_line_items,cost_source,string,,"moving_average, inventory_unit, manual, unavailable."
Point of Sale,pos_line_items,price_override_reason,text,,
Point of Sale,pos_line_items,price_override_by_user_id,bigint,FK: users,
Point of Sale,pos_line_items,original_pos_line_item_id,bigint,FK: pos_line_items,Original completed sale line for a linked return.
Point of Sale,pos_line_items,return_source,string,,"linked_sale, external_receipt, gift_receipt, no_receipt."
Point of Sale,pos_line_items,refund_basis,string,,"original_sale, verified_receipt, current_price, lowest_recent_price, manual."
Point of Sale,pos_line_items,return_reason_id,bigint,FK: return_reasons,
Point of Sale,pos_line_items,return_disposition,string,,"return_to_stock, inspection_required, damaged, return_to_vendor, discard, non_inventory."
Point of Sale,pos_line_items,reverses_pos_line_item_id,bigint,FK: pos_line_items,Exact line reversed by a post-void.
Point of Sale,pos_line_items,removed_at,datetime,,
Point of Sale,pos_line_items,removed_by_user_id,bigint,FK: users,
Point of Sale,pos_line_items,removal_reason,text,,
Point of Sale,pos_line_items,created_at,datetime,null: false,
Point of Sale,pos_line_items,created_by_user_id,bigint,FK: users,
Point of Sale,pos_line_items,completed_at,datetime,,
Point of Sale,pos_line_items,completed_by_user_id,bigint,FK: users,
Point of Sale,pos_line_items,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_discounts,id,bigint,"primary key, auto-increment",
Point of Sale,pos_discounts,pos_transaction_id,bigint,"FK: pos_transactions, null: false",
Point of Sale,pos_discounts,target_pos_line_item_id,bigint,FK: pos_line_items,Populated for a discount specifically targeted at one line.
Point of Sale,pos_discounts,scope,string,null: false,"line, transaction."
Point of Sale,pos_discounts,method,string,null: false,"percentage, fixed_amount, fixed_price."
Point of Sale,pos_discounts,position,smallint,"null: false, default: 0",
Point of Sale,pos_discounts,base_amount_cents,integer,,
Point of Sale,pos_discounts,rate_bps,integer,,
Point of Sale,pos_discounts,requested_amount_cents,integer,,
Point of Sale,pos_discounts,applied_amount_cents,integer,null: false,
Point of Sale,pos_discounts,discount_reason_id,bigint,FK: discount_reasons,
Point of Sale,pos_discounts,promotion_id,bigint,FK: promotions,Nullable future reference; Promotion definitions and application rules are deferred.
Point of Sale,pos_discounts,coupon_code,string,,
Point of Sale,pos_discounts,reference,string,,
Point of Sale,pos_discounts,created_by_user_id,bigint,FK: users,
Point of Sale,pos_discounts,created_at,datetime,null: false,
Point of Sale,pos_discount_allocations,id,bigint,"primary key, auto-increment",
Point of Sale,pos_discount_allocations,pos_discount_id,bigint,"FK: pos_discounts, null: false",
Point of Sale,pos_discount_allocations,pos_line_item_id,bigint,"FK: pos_line_items, null: false",
Point of Sale,pos_discount_allocations,eligible_amount_cents,integer,,
Point of Sale,pos_discount_allocations,allocated_amount_cents,integer,null: false,
Point of Sale,pos_discount_allocations,created_at,datetime,null: false,
Point of Sale,pos_line_item_taxes,id,bigint,"primary key, auto-increment",
Point of Sale,pos_line_item_taxes,pos_line_item_id,bigint,"FK: pos_line_items, null: false",
Point of Sale,pos_line_item_taxes,tax_category_id,bigint,FK: tax_categories,
Point of Sale,pos_line_item_taxes,store_tax_rate_id,bigint,FK: store_tax_rates,
Point of Sale,pos_line_item_taxes,position,smallint,"null: false, default: 0",
Point of Sale,pos_line_item_taxes,taxable_amount_cents,integer,,
Point of Sale,pos_line_item_taxes,rate,"decimal(10,8)",,Historical rate snapshot.
Point of Sale,pos_line_item_taxes,amount_cents,integer,null: false,
Point of Sale,pos_line_item_taxes,created_at,datetime,null: false,
Point of Sale,pos_tax_exemptions,id,bigint,"primary key, auto-increment",
Point of Sale,pos_tax_exemptions,pos_transaction_id,bigint,"FK: pos_transactions, null: false",
Point of Sale,pos_tax_exemptions,exemption_type,string,null: false,
Point of Sale,pos_tax_exemptions,certificate_number,string,,
Point of Sale,pos_tax_exemptions,jurisdiction,string,,
Point of Sale,pos_tax_exemptions,holder_name,string,,
Point of Sale,pos_tax_exemptions,effective_on,date,,
Point of Sale,pos_tax_exemptions,expires_on,date,,
Point of Sale,pos_tax_exemptions,notes,text,,
Point of Sale,pos_tax_exemptions,verified_by_user_id,bigint,FK: users,
Point of Sale,pos_tax_exemptions,verified_at,datetime,,
Point of Sale,pos_tax_exemptions,pos_approval_id,bigint,FK: pos_approvals,"Approval used for missing, expired, or incomplete evidence."
Point of Sale,pos_tax_exemptions,created_at,datetime,null: false,
Point of Sale,pos_tax_exemptions,updated_at,datetime,null: false,
Point of Sale,pos_tenders,id,bigint,"primary key, auto-increment",
Point of Sale,pos_tenders,pos_transaction_id,bigint,"FK: pos_transactions, null: false",
Point of Sale,pos_tenders,tender_type_id,bigint,"FK: tender_types, null: false",
Point of Sale,pos_tenders,tender_category_snapshot,string,null: false,"cash, card, check, stored_value, other."
Point of Sale,pos_tenders,direction,string,null: false,"received, refunded."
Point of Sale,pos_tenders,status,string,"null: false, default: pending","pending, authorized, completed, declined, voided, refunded, failed, removed."
Point of Sale,pos_tenders,applied_amount_cents,integer,null: false,
Point of Sale,pos_tenders,amount_presented_cents,integer,,Cash only.
Point of Sale,pos_tenders,change_given_cents,integer,,Cash only; part of the received tender.
Point of Sale,pos_tenders,stored_value_account_id,bigint,FK: stored_value_accounts,
Point of Sale,pos_tenders,original_pos_tender_id,bigint,FK: pos_tenders,Original tender for a linked refund.
Point of Sale,pos_tenders,reverses_pos_tender_id,bigint,FK: pos_tenders,
Point of Sale,pos_tenders,reference_1,string,,Label and requirement supplied by tender type.
Point of Sale,pos_tenders,reference_2,string,,
Point of Sale,pos_tenders,card_brand_snapshot,string,,
Point of Sale,pos_tenders,masked_last_four,string,limit: 4,
Point of Sale,pos_tenders,authorization_code,string,,
Point of Sale,pos_tenders,terminal_reference,string,,Standalone terminal reference.
Point of Sale,pos_tenders,external_reference,string,,
Point of Sale,pos_tenders,processed_at,datetime,,
Point of Sale,pos_tenders,created_by_user_id,bigint,FK: users,
Point of Sale,pos_tenders,created_at,datetime,null: false,
Point of Sale,pos_cash_movements,id,bigint,"primary key, auto-increment",
Point of Sale,pos_cash_movements,pos_session_id,bigint,FK: pos_sessions,
Point of Sale,pos_cash_movements,business_day_id,bigint,"FK: business_days, null: false",
Point of Sale,pos_cash_movements,cash_drawer_id,bigint,FK: cash_drawers,
Point of Sale,pos_cash_movements,cash_movement_type_id,bigint,"FK: cash_movement_types, null: false",
Point of Sale,pos_cash_movements,amount_cents,integer,null: false,Direction is supplied by cash_movement_type.
Point of Sale,pos_cash_movements,status,string,"null: false, default: pending","pending, completed, reconciled."
Point of Sale,pos_cash_movements,reference,string,,
Point of Sale,pos_cash_movements,created_by_user_id,bigint,FK: users,
Point of Sale,pos_cash_movements,completed_at,datetime,,
Point of Sale,pos_cash_movements,reconciled_at,datetime,,
Point of Sale,pos_cash_movements,reconciled_by_user_id,bigint,FK: users,
Point of Sale,pos_cash_movements,created_at,datetime,null: false,
Point of Sale,pos_approvals,id,bigint,"primary key, auto-increment",
Point of Sale,pos_approvals,store_id,bigint,"FK: stores, null: false",
Point of Sale,pos_approvals,pos_session_id,bigint,FK: pos_sessions,
Point of Sale,pos_approvals,pos_transaction_id,bigint,FK: pos_transactions,
Point of Sale,pos_approvals,pos_line_item_id,bigint,FK: pos_line_items,
Point of Sale,pos_approvals,pos_cash_movement_id,bigint,FK: pos_cash_movements,
Point of Sale,pos_approvals,pos_line_item_tax_id,bigint,FK: pos_line_item_taxes,
Point of Sale,pos_approvals,pos_tender_id,bigint,FK: pos_tenders,
Point of Sale,pos_approvals,action_type,string,null: false,"Stable code: discount_override, price_override, no_receipt_return, post_void, paid_out, etc."
